  0.000010   1.672078   0.037412
  0.000010   1.672065   0.038708
  0.000011   1.672024   0.040010
  0.000011   1.671957   0.041321
  0.000011   1.671864   0.042646
  0.000012   1.671746   0.043989
  0.000012   1.671602   0.045356
  0.000012   1.671433   0.046750
  0.000013   1.671240   0.048174
  0.000013   1.671023   0.049633
  0.000014   1.670782   0.051130
  0.000014   1.670516   0.052668
  0.000014   1.670227   0.054250
  0.000015   1.669913   0.055879
  0.000015   1.669576   0.057558
  0.000016   1.669214   0.059289
  0.000016   1.668826   0.061074
  0.000017   1.668414   0.062915
  0.000017   1.667975   0.064813
  0.000018   1.667508   0.066772
  0.000019   1.667014   0.068792
  0.000019   1.666490   0.070874
  0.000020   1.665935   0.073020
  0.000020   1.665348   0.075231
  0.000021   1.664726   0.077508
  0.000022   1.664069   0.079853
  0.000022   1.663373   0.082265
  0.000023   1.662636   0.084746
  0.000024   1.661856   0.087297
  0.000025   1.661030   0.089918
  0.000025   1.660155   0.092610
  0.000026   1.659227   0.095375
  0.000027   1.658245   0.098213
  0.000028   1.657203   0.101124
  0.000029   1.656099   0.104109
  0.000030   1.654928   0.107170
  0.000030   1.653686   0.110306
  0.000031   1.652370   0.113518
  0.000032   1.650975   0.116806
  0.000033   1.649497   0.120172
  0.000034   1.647931   0.123614
  0.000036   1.646273   0.127134
  0.000037   1.644518   0.130729
  0.000038   1.642662   0.134401
  0.000039   1.640699   0.138147
  0.000040   1.638624   0.141967
  0.000041   1.636432   0.145860
  0.000043   1.634117   0.149822
  0.000044   1.631674   0.153853
  0.000045   1.629097   0.157948
  0.000047   1.626380   0.162106
  0.000048   1.623518   0.166323
  0.000050   1.620505   0.170595
  0.000051   1.617334   0.174918
  0.000053   1.614001   0.179286
  0.000055   1.610500   0.183695
  0.000056   1.606825   0.188137
  0.000058   1.602970   0.192608
  0.000060   1.598932   0.197100
  0.000062   1.594705   0.201604
  0.000064   1.590285   0.206115
  0.000066   1.585667   0.210622
  0.000068   1.580849   0.215116
  0.000070   1.575826   0.219588
  0.000072   1.570597   0.224029
  0.000075   1.565159   0.228426
  0.000077   1.559511   0.232770
  0.000079   1.553653   0.237049
  0.000082   1.547584   0.241252
  0.000084   1.541306   0.245366
  0.000087   1.534820   0.249379
  0.000090   1.528129   0.253280
  0.000093   1.521237   0.257056
  0.000096   1.514147   0.260695
  0.000098   1.506867   0.264184
  0.000102   1.499401   0.267511
  0.000105   1.491757   0.270666
  0.000108   1.483944   0.273636
  0.000111   1.475970   0.276410
  0.000115   1.467846   0.278979
  0.000119   1.459582   0.281332
  0.000122   1.451191   0.283460
  0.000126   1.442684   0.285355
  0.000130   1.434075   0.287009
  0.000134   1.425378   0.288416
  0.000138   1.416607   0.289569
  0.000143   1.407776   0.290465
  0.000147   1.398901   0.291099
  0.000152   1.389997   0.291469
  0.000157   1.381080   0.291574
  0.000162   1.372166   0.291413
  0.000167   1.363270   0.290986
  0.000172   1.354407   0.290296
  0.000177   1.345594   0.289346
  0.000183   1.336844   0.288139
  0.000189   1.328173   0.286681
