  0.000010   0.672098   0.037412
  0.000010   0.672084   0.038691
  0.000011   0.672043   0.039974
  0.000011   0.671976   0.041268
  0.000011   0.671881   0.042575
  0.000012   0.671759   0.043902
  0.000012   0.671610   0.045253
  0.000012   0.671435   0.046633
  0.000013   0.671233   0.048045
  0.000013   0.671005   0.049493
  0.000014   0.670752   0.050982
  0.000014   0.670472   0.052516
  0.000014   0.670167   0.054097
  0.000015   0.669837   0.055728
  0.000015   0.669483   0.057413
  0.000016   0.669104   0.059154
  0.000016   0.668702   0.060952
  0.000017   0.668277   0.062808
  0.000017   0.667829   0.064725
  0.000018   0.667359   0.066703
  0.000019   0.666868   0.068740
  0.000019   0.666357   0.070838
  0.000020   0.665814   0.072995
  0.000020   0.665238   0.075214
  0.000021   0.664626   0.077496
  0.000022   0.663976   0.079842
  0.000022   0.663285   0.082253
  0.000023   0.662553   0.084730
  0.000024   0.661776   0.087275
  0.000025   0.660951   0.089890
  0.000025   0.660076   0.092574
  0.000026   0.659147   0.095330
  0.000027   0.658162   0.098158
  0.000028   0.657118   0.101059
  0.000029   0.656011   0.104034
  0.000030   0.654838   0.107084
  0.000030   0.653595   0.110209
  0.000031   0.652278   0.113410
  0.000032   0.650883   0.116688
  0.000033   0.649406   0.120042
  0.000034   0.647843   0.123473
  0.000036   0.646188   0.126981
  0.000037   0.644439   0.130564
  0.000038   0.642588   0.134223
  0.000039   0.640633   0.137957
  0.000040   0.638567   0.141764
  0.000041   0.636385   0.145643
  0.000043   0.634082   0.149593
  0.000044   0.631652   0.153611
  0.000045   0.629091   0.157695
  0.000047   0.626391   0.161842
  0.000048   0.623547   0.166048
  0.000050   0.620554   0.170311
  0.000051   0.617405   0.174625
  0.000053   0.614096   0.178987
  0.000055   0.610619   0.183391
  0.000056   0.606971   0.187831
  0.000058   0.603145   0.192301
  0.000060   0.599135   0.196795
  0.000062   0.594938   0.201305
  0.000064   0.590548   0.205823
  0.000066   0.585962   0.210341
  0.000068   0.581174   0.214850
  0.000070   0.576182   0.219340
  0.000072   0.570982   0.223802
  0.000075   0.565573   0.228225
  0.000077   0.559952   0.232597
  0.000079   0.554119   0.236908
  0.000082   0.548072   0.241146
  0.000084   0.541814   0.245298
  0.000087   0.535344   0.249352
  0.000090   0.528666   0.253297
  0.000093   0.521782   0.257118
  0.000096   0.514696   0.260804
  0.000098   0.507414   0.264342
  0.000102   0.499943   0.267719
  0.000105   0.492288   0.270923
  0.000108   0.484458   0.273942
  0.000111   0.476463   0.276764
  0.000115   0.468313   0.279379
  0.000119   0.460018   0.281776
  0.000122   0.451590   0.283945
  0.000126   0.443043   0.285878
  0.000130   0.434389   0.287566
  0.000134   0.425644   0.289002
  0.000138   0.416821   0.290179
  0.000143   0.407937   0.291094
  0.000147   0.399006   0.291742
  0.000152   0.390046   0.292120
  0.000157   0.381071   0.292226
  0.000162   0.372100   0.292061
  0.000167   0.363147   0.291625
  0.000172   0.354229   0.290920
  0.000177   0.345362   0.289949
  0.000183   0.336563   0.288716
  0.000189   0.327845   0.287228
  0.000194   0.319223   0.285490
  0.000201   0.310712   0.283510
  0.000207   0.302325   0.281296
  0.000213   0.294075   0.278857
